,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
81,-740572,20000000,274,356,0.0366,-0.0086,0.7172,-0.000468,-0.01,-0.04,2012-01-22,wRqkqg5,"ts_skewness(vec_avg(pv64_out_stal_fund_asset_alloc_mtge),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
82,-966720,20000000,348,543,0.0424,-0.0115,0.6761,-0.000543,-0.02,-0.06,2012-01-22,eOmZqaO,"ts_skewness(vec_avg(pv64_rpx_stal_eqy_sh_out),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
83,-384778,20000000,1089,1220,0.0561,-0.0046,0.1235,-0.000162,-0.02,-0.13,2012-01-22,eOmPz6g,"ts_skewness(vec_avg(pv64_dif_last_dps_gross),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
84,-531361,20000000,1166,1215,0.0724,-0.0061,0.2293,-0.00017,-0.02,-0.09,2012-01-22,WpM27Qx,"ts_skewness(vec_avg(pv64_stal_jp_last_close_trr_ytd),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
85,-384732,20000000,1089,1220,0.0561,-0.0045,0.1235,-0.000162,-0.02,-0.13,2012-01-22,LpWwdam,"ts_skewness(vec_avg(pv64_dif_dvd_sh_last),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
86,-315307,20000000,1147,1236,0.0795,-0.0036,0.0779,-9.2e-05,-0.02,-0.14,2012-01-22,6w7LrRK,"ts_skewness(vec_avg(pv64_stal_last_close_trr_3mo),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
87,-778390,20000000,876,1248,0.0381,-0.009,0.517,-0.000473,-0.02,-0.06,2012-01-22,27MxA3Y,"ts_skewness(vec_avg(pv64_dif_stal_fund_asset_alloc_cash_other),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
88,-1128209,20000000,25,25,0.1583,-0.0132,0.58,-0.000167,-0.02,-0.08,2012-01-22,7wWr365,"ts_skewness(vec_avg(pv64_dif_stal_fund_min_invest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
89,-491731,20000000,0,0,0.0122,-0.0075,0.281,-0.001229,-0.02,-0.07,2012-01-22,wRqkpe5,"ts_skewness(vec_avg(pv64_out_stal_fd_initial_val),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
90,-1469966,20000000,371,375,0.2337,-0.017,0.465,-0.000146,-0.02,-0.09,2012-01-22,z9Zn17R,"ts_skewness(vec_avg(pv64_out_stal_fund_turnover),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
91,-873425,20000000,1209,1174,0.074,-0.0101,0.4134,-0.000273,-0.03,-0.09,2012-01-22,PpNm2xx,"ts_skewness(vec_avg(pv64_stal_last_close_trr_mtd),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
92,-1374670,20000000,10,25,0.0749,-0.0183,0.9773,-0.00049,-0.03,-0.07,2012-01-22,qA8JMXj,"ts_skewness(vec_avg(pv64_out_stal_front_load),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
93,-1117965,20000000,486,493,0.0349,-0.0129,0.3308,-0.00074,-0.03,-0.09,2012-01-22,ad68az6,"ts_skewness(vec_avg(pv64_dif_stal_fund_asset_alloc_muni),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
94,-1861236,20000000,42,42,0.1309,-0.0215,0.7202,-0.000329,-0.03,-0.08,2012-01-22,9wY3d2d,"ts_skewness(vec_avg(pv64_dif_stal_id_bb_parent_co),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
95,-1794594,20000000,65,75,0.0399,-0.0208,0.934,-0.00104,-0.04,-0.09,2012-01-22,vL8Xx1b,"ts_skewness(vec_avg(pv64_px_stal_cur_mkt_cap),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
96,-453869,20000000,1142,1222,0.0792,-0.0052,0.0759,-0.000133,-0.04,-0.2,2012-01-22,7wWRjL8,"ts_skewness(vec_avg(pv64_stal_last_close_trr_5yr),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
97,-2013174,20000000,6,18,0.088,-0.0235,0.7941,-0.000534,-0.04,-0.1,2012-01-22,QaMpeQX,"ts_skewness(vec_avg(pv64_out_stal_max_redemp_fee),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
98,-1157504,20000000,696,1147,0.0723,-0.0134,0.2294,-0.00037,-0.04,-0.12,2012-01-22,17eAvJR,"ts_skewness(vec_avg(pv64_out_stal_last_dps_gross),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
99,-1157584,20000000,696,1147,0.0723,-0.0134,0.2294,-0.00037,-0.04,-0.12,2012-01-22,Yp6ORXv,"ts_skewness(vec_avg(pv64_out_stal_dvd_sh_last),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
100,-2013174,20000000,6,18,0.088,-0.0235,0.7941,-0.000534,-0.04,-0.1,2012-01-22,vL8XqvG,"ts_skewness(vec_avg(pv64_out_stal_fund_early_withdraw_fee),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
101,-815981,20000000,1091,1255,0.1343,-0.0096,0.2321,-0.000142,-0.04,-0.14,2012-01-22,g16V9rm,"ts_skewness(vec_avg(pv64_stal_hist_trr_prev_4qtr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
102,-1563473,20000000,1193,1107,0.0718,-0.0185,0.6519,-0.000515,-0.05,-0.13,2012-01-22,VpVL3AY,"ts_skewness(vec_avg(pv64_dif_fund_asset_alloc_govt),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
103,-2586074,20000000,509,538,0.0771,-0.0309,0.64,-0.000802,-0.06,-0.12,2012-01-22,dxprxP2,"ts_skewness(vec_avg(pv64_stal_hist_trr_prev_1yr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
104,-2802273,20000000,544,534,0.036,-0.0349,1.4173,-0.001941,-0.07,-0.13,2012-01-22,Zp6vKXx,"ts_skewness(vec_avg(pv64_stal_hist_trr_prev_3yr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
105,-2058304,20000000,283,283,0.1878,-0.0239,0.5547,-0.000254,-0.08,-0.22,2012-01-22,dxp63PK,"ts_skewness(vec_avg(pv64_dif_stal_fund_turnover),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
106,-2957345,20000000,39,41,0.1972,-0.0346,0.6161,-0.000351,-0.09,-0.21,2012-01-22,7wWREM5,"ts_skewness(vec_avg(pv64_out_stal_fund_min_invest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
107,-2626143,20000000,1055,967,0.0725,-0.0311,0.3752,-0.000857,-0.1,-0.2,2012-01-22,wRqAa15,"ts_skewness(vec_avg(pv64_dif_fund_asset_alloc_mtge),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
108,-3267752,20000000,68,56,0.0517,-0.0379,0.8111,-0.001464,-0.1,-0.18,2012-01-22,6w7LX05,"ts_skewness(vec_avg(pv64_out_stal_fund_12b_fee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
109,-3279455,20000000,263,265,0.1288,-0.038,0.7018,-0.00059,-0.1,-0.19,2012-01-22,xxqp6dp,"ts_skewness(vec_avg(pv64_out_stal_fund_expense_ratio),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
110,-2686838,20000000,329,361,0.1718,-0.0311,0.5979,-0.000362,-0.1,-0.23,2012-01-22,Zp6v3g0,"ts_skewness(vec_avg(pv64_out_stal_fund_income_ratio),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
111,-2798551,20000000,1131,1192,0.0385,-0.0324,0.5357,-0.001682,-0.1,-0.2,2012-01-22,k3d6qOk,"ts_skewness(vec_avg(pv64_out_stal_fund_asset_alloc_cash_other),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
112,-4348800,20000000,22,26,0.1094,-0.0509,1.5964,-0.000931,-0.11,-0.17,2012-01-22,dxp69r2,"ts_skewness(vec_avg(pv64_dif_stal_fund_deferred_load),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
113,-3107286,20000000,248,227,0.0473,-0.0359,0.6522,-0.001521,-0.12,-0.22,2012-01-22,LpWwKz6,"ts_skewness(vec_avg(pv64_dif_stal_fund_asset_alloc_pfd),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
114,-3365690,20000000,1178,1024,0.0904,-0.0401,0.863,-0.000887,-0.13,-0.23,2012-01-22,lVdP7n2,"ts_skewness(vec_avg(pv64_rpx_stal_px_last),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
115,-1887145,20000000,986,725,0.0595,-0.0223,0.3458,-0.00075,-0.14,-0.32,2012-01-22,dxp6Z3w,"ts_skewness(vec_avg(pv64_dif_fund_creation_unit_size),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
